solution_id,problem_id,old_outcome,input_outcome,graph_outcome,mutation_outcome,input_result,graph_result,mutation_result
37091,806,0,,,,,,
37092,806,0,,,,,,
37093,806,0,,,,,,
37094,806,0,,,,,,
37095,806,0,,,,,,
37096,806,0,,,,,,
37097,806,0,,,,,,
37098,806,0,,,,,,
37099,806,0,,,,,,
37100,806,1,,,,,,
37101,806,0,,,,,,
37102,806,0,,,,,,
37103,806,0,,,,,,
37104,806,1,,,,,,
37105,806,0,,,,,,
37106,806,0,,,,,,
37107,806,0,,,,,,
37108,806,1,,,,,,
37109,806,0,,,,,,
37110,806,0,,,,,,
37111,806,0,,,,,,
37112,806,0,,,,,,
37113,806,0,,,,,,
37114,806,1,,,,,,
37115,806,0,,,,,,
37116,806,0,,,,,,
37117,806,0,,,,,,
37118,806,0,,,,,,
37119,806,0,,,,,,
37120,806,0,,,,,,
37121,806,0,,,,,,
37122,806,0,,,,,,
37123,806,0,,,,,,
37124,806,0,,,,,,
37125,806,0,,,,,,
37126,806,0,,,,,,
37127,806,0,,,,,,
37128,806,1,,,,,,
37129,806,1,,,,,,
37130,806,1,,,,,,
37131,806,0,,,,,,
37132,806,0,,,,,,
37133,806,0,,,,,,
37134,806,0,,,,,,
37135,806,0,,,,,,
37136,806,0,,,,,,
37137,806,0,,,,,,
37138,806,0,,,,,,
37139,806,0,,,,,,
37140,806,0,,,,,,
37141,806,0,,,,,,
37142,806,0,,,,,,
37143,806,0,,,,,,
37144,806,0,,,,,,
37145,806,0,,,,,,
37146,806,0,,,,,,
37147,806,0,,,,,,
37148,806,0,,,,,,
37149,806,0,,,,,,
37150,806,0,,,,,,
37151,806,1,,,,,,
37152,806,1,,,,,,
37153,806,0,,,,,,
37154,806,0,,,,,,
37155,806,0,,,,,,
37156,806,0,,,,,,
37157,806,0,,,,,,
37158,806,0,,,,,,
37159,806,0,,,,,,
37160,806,0,,,,,,
37161,806,0,,,,,,
37162,806,1,,,,,,
37163,806,0,,,,,,
37164,806,0,,,,,,
37165,806,0,,,,,,
37166,806,1,,,,,,
37167,806,0,,,,,,
37168,806,0,,,,,,
37169,806,0,,,,,,
37170,806,0,,,,,,
37171,806,0,,,,,,
37172,806,0,,,,,,
37173,806,0,,,,,,
37174,806,1,,,,,,
37175,806,0,,,,,,
37176,806,1,,,,,,
37177,806,0,,,,,,
37178,806,0,,,,,,
37179,806,0,,,,,,
37180,806,0,,,,,,
37181,806,0,,,,,,
37182,806,0,,,,,,
37183,806,0,,,,,,
37184,806,0,,,,,,
37185,806,0,,,,,,
37186,806,0,,,,,,
37187,806,1,,,,,,
37188,806,0,,,,,,
37189,806,0,,,,,,
37190,806,0,,,,,,
37191,806,0,,,,,,
37192,806,0,,,,,,
37193,806,0,,,,,,
37194,806,0,,,,,,
37195,806,1,,,,,,
37196,806,0,,,,,,
37197,806,0,,,,,,
37198,806,0,,,,,,
37199,806,0,,,,,,
37200,806,0,,,,,,
37201,806,1,,,,,,
37202,806,0,,,,,,
37203,806,0,,,,,,
37204,806,1,,,,,,
37205,806,1,,,,,,
37206,806,0,,,,,,
37207,806,0,,,,,,
37208,806,0,,,,,,
37209,806,0,,,,,,
37210,806,0,,,,,,
37211,806,0,,,,,,
37212,806,0,,,,,,
37213,806,0,,,,,,
37214,806,0,,,,,,
37215,806,0,,,,,,
37216,806,0,,,,,,
37217,806,0,,,,,,
37218,806,0,,,,,,
37219,806,0,,,,,,
37220,806,0,,,,,,
37221,806,0,,,,,,
37222,806,0,,,,,,
37223,806,0,,,,,,
37224,806,0,,,,,,
37225,806,0,,,,,,
37226,806,0,,,,,,
37227,806,0,,,,,,
37228,806,1,,,,,,
37229,806,0,,,,,,
37230,806,0,,,,,,
37231,806,0,,,,,,
37232,806,0,,,,,,
37233,806,0,,,,,,
37234,806,0,,,,,,
37235,806,0,,,,,,
37236,806,0,,,,,,
37237,806,0,,,,,,
37238,806,0,,,,,,
37239,806,0,,,,,,
37240,806,0,,,,,,
37241,806,0,,,,,,
37242,806,1,,,,,,
37243,806,0,,,,,,
37244,806,0,,,,,,
37245,806,0,,,,,,
37246,806,0,,,,,,
37247,806,0,,,,,,
37248,806,0,,,,,,
37249,806,0,,,,,,
37250,806,0,,,,,,
37251,806,0,,,,,,
37252,806,1,,,,,,
